To lend	Prestare (transitive verb) (yo form: presto, presté, prestaba, prestaría, prestaré | tú form: prestas, prestaste, prestabas, prestarías, prestarás | él/ella/Ud. form: presta, prestó, prestaba, prestaría, prestará | nosotros form: prestamos, prestamos, prestábamos, prestaríamos, prestaremos | vosotros form: prestáis, prestasteis, prestabais, prestaríais, prestaréis | ellos/ellas/Uds. form: prestan, prestaron, prestaban, prestarían, prestarán)
Chain	Cadena (feminine noun) 
>>>manually check defination on https://www.spanishdict.com/translate/lianas please.<<<	Lianas (noun) 
To conclude	Concluido (transitive verb) (yo form: concluy, concluí, concluía, concluiría, concluiré | tú form: concluy, concluiste, concluías, concluirías, concluirás | él/ella/Ud. form: concluy, concluy, concluía, concluiría, concluirá | nosotros form: concluimos, concluimos, concluíamos, concluiríamos, concluiremos | vosotros form: concluís, concluisteis, concluíais, concluiríais, concluiréis | ellos/ellas/Uds. form: concluy, concluy, concluían, concluirían, concluirán)
Speed	Velocidad (feminine noun) 
Fantastic	Formidable (adjective) 
Cannon shot	Canonazos (masculine noun) 
To cost	Costados (transitive verb) (yo form: cue, costé, costaba, costaría, costaré | tú form: cue, costaste, costabas, costarías, costarás | él/ella/Ud. form: cue, costó, costaba, costaría, costará | nosotros form: costamos, costamos, costábamos, costaríamos, costaremos | vosotros form: costáis, costasteis, costabais, costaríais, costaréis | ellos/ellas/Uds. form: cue, costaron, costaban, costarían, costarán)
To evade	Burlaba (transitive verb) (yo form: burlo, burlé, burlaba, burlaría, burlaré | tú form: burlas, burlaste, burlabas, burlarías, burlarás | él/ella/Ud. form: burla, burló, burlaba, burlaría, burlará | nosotros form: burlamos, burlamos, burlábamos, burlaríamos, burlaremos | vosotros form: burláis, burlasteis, burlabais, burlaríais, burlaréis | ellos/ellas/Uds. form: burlan, burlaron, burlaban, burlarían, burlarán)
To break	Rotos (transitive verb) (yo form: rompo, rompí, rompía, rompería, romperé | tú form: rompes, rompiste, rompías, romperías, romperás | él/ella/Ud. form: rompe, rompió, rompía, rompería, romperá | nosotros form: rompemos, rompimos, rompíamos, romperíamos, romperemos | vosotros form: rompéis, rompisteis, rompíais, romperíais, romperéis | ellos/ellas/Uds. form: rompen, rompieron, rompían, romperían, romperán)
Immense	Inmenso (adjective) 
Common	Corriente (adjective) 
To drag	Arrastraba (transitive verb) (yo form: arrastro, arrastré, arrastraba, arrastraría, arrastraré | tú form: arrastras, arrastraste, arrastrabas, arrastrarías, arrastrarás | él/ella/Ud. form: arrastra, arrastró, arrastraba, arrastraría, arrastrará | nosotros form: arrastramos, arrastramos, arrastrábamos, arrastraríamos, arrastraremos | vosotros form: arrastráis, arrastrasteis, arrastrabais, arrastraríais, arrastraréis | ellos/ellas/Uds. form: arrastran, arrastraron, arrastraban, arrastrarían, arrastrarán)
To want	Quisieron (transitive verb) (yo form: qui, quise, quería, querr, querr | tú form: qui, quis, querías, querr, querr | él/ella/Ud. form: qui, quiso, quería, querr, querr | nosotros form: queremos, quis, queríamos, querr, querr | vosotros form: queréis, quis, queríais, querr, querr | ellos/ellas/Uds. form: qui, quis, querían, querr, querr)
To give	Regalaran (transitive verb) (yo form: regalo, regalé, regalaba, regalaría, regalaré | tú form: regalas, regalaste, regalabas, regalarías, regalarás | él/ella/Ud. form: regala, regaló, regalaba, regalaría, regalará | nosotros form: regalamos, regalamos, regalábamos, regalaríamos, regalaremos | vosotros form: regaláis, regalasteis, regalabais, regalaríais, regalaréis | ellos/ellas/Uds. form: regalan, regalaron, regalaban, regalarían, regalarán)
To admire	Admiraban (transitive verb) (yo form: admiro, admiré, admiraba, admiraría, admiraré | tú form: admiras, admiraste, admirabas, admirarías, admirarás | él/ella/Ud. form: admira, admiró, admiraba, admiraría, admirará | nosotros form: admiramos, admiramos, admirábamos, admiraríamos, admiraremos | vosotros form: admiráis, admirasteis, admirabais, admiraríais, admiraréis | ellos/ellas/Uds. form: admiran, admiraron, admiraban, admirarían, admirarán)
Open	Abierta (adjective) 
Place	Paraje (masculine noun) 
